category,name,url
Analytics & Data,Opta Analyst,https://theanalyst.com
Analytics & Data,StatsBomb,https://statsbomb.com/articles
Analytics & Data,Total Football Analysis,https://totalfootballanalysis.com
Analytics & Data,Coaches' Voice,https://www.coachesvoice.com
Analytics & Data,Hudl,https://www.hudl.com/blog
Analytics & Data,FIFA Project,https://fifaproject.vercel.app
Tactical & Football Analysis,Breaking The Lines,https://breakingthelines.com
Tactical & Football Analysis,Tifo Football,https://tifofootball.com
Tactical & Football Analysis,Spielverlagerung,https://spielverlagerung.com
Media & Tournament Coverage,The Athletic,https://www.nytimes.com/athletic/football
Media & Tournament Coverage,BBC Sport,https://www.bbc.com/sport/football
Media & Tournament Coverage,The Guardian,https://www.theguardian.com/football
Media & Tournament Coverage,ESPN,https://www.espn.com/soccer
Media & Tournament Coverage,FourFourTwo,https://www.fourfourtwo.com
Media & Tournament Coverage,GOAL,https://www.goal.com
Media & Tournament Coverage,Reuters,https://www.reuters.com/world-cup
